accelerationX,accelerationY,accelerationZ,accelerationIncludingGravityX,accelerationIncludingGravityY,accelerationIncludingGravityZ,rotationRateA,rotationRateB,rotationRateG,latitude,longitude,altitude,accuracy,altitudeAccuracy,heading,speed,timestamp
0,0,0,4.9133453369140625,3.534759521484375,6.2142333984375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1664028,72.851193,null,20.229000091552734,null,null,null,1540535787936
0,0,0,5.1119384765625,3.3911895751953125,4.008056640625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1663216,72.8512773,null,19.816999435424805,null,null,null,1540535790887
0,0,0,4.3486328125,4.8077392578125,5.6758575439453125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1662323,72.8513767,null,19.107999801635742,null,null,null,1540535793889
0,0,0,5.856109619140625,1.929168701171875,3.886016845703125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1660489,72.8513477,-49,14.675999641418457,null,null,null,1540535802000
-0.0009284019470214844,-0.0011119842529296875,0.0014438629150390625,4.7865142822265625,4.068359375,6.2118377685546875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1659637,72.8513135,-49,26.388999938964844,null,null,null,1540535805841
0,0,0,3.180938720703125,5.2384490966796875,5.467681884765625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1659422,72.8513048,-49,29.60300064086914,null,null,null,1540535808882
0,0,0,4.4874267578125,6.88470458984375,5.022613525390625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1658624,72.8512062,-50.900001525878906,21.315000534057617,null,null,null,1540535811855
-0.0009121894836425781,-0.0010733604431152344,0.0015311241149902344,5.82501220703125,4.345916748046875,6.51812744140625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1656678,72.8510967,-53,13.998000144958496,null,182,3.7899999618530273,1540535816000
0,0,0,5.6646881103515625,3.372039794921875,6.8722686767578125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655936,72.8510549,-53,14.928000450134277,null,null,null,1540535816648
0.050649166107177734,-0.3814394474029541,-0.2010970115661621,7.1649932861328125,2.59197998046875,7.7049713134765625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655612,72.8510367,-53,19.966999053955078,null,null,null,1540535819690
0,0,0,4.9947052001953125,7.018707275390625,6.522918701171875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655489,72.8510298,-53,26.924999237060547,null,null,null,1540535822655
0,0,0,2.372161865234375,8.952102661132812,4.1947021484375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655422,72.851026,-53,35.26300048828125,null,null,null,1540535825662
0,0,0,0.589508056640625,8.229476928710938,3.85491943359375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655381,72.8510237,-53,44.757999420166016,null,null,null,1540535828670
-0.0007797479629516602,-0.0008077621459960938,0.0019583702087402344,1.879241943359375,9.121994018554688,4.5105438232421875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655357,72.8510223,-53,54.5359992980957,null,null,null,1540535831646
-0.0007005929946899414,-0.0007600784301757812,0.0015568733215332031,1.28582763671875,7.7796173095703125,4.376556396484375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655343,72.8510215,-53,65.19400024414062,null,null,null,1540535834663
0,0,0,1.7643890380859375,9.3349609375,4.012847900390625,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655942,72.850976,-47.79999923706055,26.1299991607666,null,null,null,1540535835971
0,0,0,1.2523193359375,7.98541259765625,3.5845184326171875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1655497,72.8509445,-47.79999923706055,22.665000915527344,null,null,null,1540535841939
-0.0006326436996459961,-0.0006756782531738281,0.0014696121215820312,1.4604949951171875,7.2005615234375,3.93865966796875,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1653331,72.8509888,null,20.038000106811523,null,null,null,1540535844888
0,0,0,1.3767547607421875,8.669754028320312,4.0224151611328125,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1652393,72.8509998,null,21.139999389648438,null,null,null,1540535847829
0,0,0,0.42919921875,7.8777313232421875,3.6898040771484375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1651571,72.8510055,null,21.405000686645508,null,null,null,1540535850897
0,0,0,1.09918212890625,8.660186767578125,3.967376708984375,1.5771726416259844,-1.0797163039956157,0.1827212206761811,19.1651162,72.8510044,null,21.486000061035156,null,null,null,1540535853887
